variant_id,model_year,region,body_style,trim_level,drivetrain,wheelbase_mm,curb_mass_kg,drag_coefficient,frontal_area_m2,max_payload_kg,tow_rating_kg,homologation_code,active_aero,certification_market,test_cycle,procedure_standard,gcwr_kg,braked_trailer_rating_kg,unbraked_trailer_rating_kg
OAM-V0432,2024,KR,sedan,Fleet,4WD,2802,1708,0.265,2.24,448,65,KR-2024-4115,false,Korea,WLTC-KR,KATRI/WLTC,2370,65,65
OAM-V0433,2025,AU,pickup,Fleet,RWD,3500,2661,0.345,3.37,1127,5123,AU-2025-2935,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,9015,5123,750
OAM-V0434,2026,KR,pickup,Base,RWD,3266,2655,0.343,3.33,749,3678,KR-2026-3297,true,Korea,WLTC-KR,KATRI/WLTC,7260,3678,750
OAM-V0435,2027,AU,sedan,Performance,RWD,2917,1959,0.219,2.38,455,0,AU-2027-2643,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,2518,0,0
OAM-V0436,2024,EU,sedan,Touring,FWD,2963,1732,0.283,2.33,453,0,EU-2024-5458,false,European Union,WLTP,UNECE R154,2350,0,0
OAM-V0437,2025,NA,sedan,Premium,4WD,2798,2118,0.238,2.28,431,237,NA-2025-9319,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,2905,237,237
OAM-V0438,2026,KR,sedan,Executive,FWD,2844,2035,0.291,2.23,440,835,KR-2026-7804,false,Korea,WLTC-KR,KATRI/WLTC,3460,835,750
OAM-V0439,2027,UK,suv,Sport,AWD,2855,2512,0.270,2.86,566,2643,UK-2027-4853,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,5915,2643,750
OAM-V0440,2024,NA,pickup,Touring,RWD,3303,2900,0.399,3.63,1103,4684,NA-2024-8986,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,8849,4684,750
OAM-V0441,2025,KR,pickup,Premium,RWD,3202,2480,0.363,3.53,1091,3475,KR-2025-3357,true,Korea,WLTC-KR,KATRI/WLTC,7223,3475,750
OAM-V0442,2026,JP,crossover,Premium,RWD,2764,1860,0.295,2.73,637,1689,JP-2026-6253,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,4304,1689,750
OAM-V0443,2027,UK,wagon,Touring,4WD,3060,1887,0.271,2.28,488,2031,UK-2027-7926,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4607,2031,750
OAM-V0444,2024,EU,pickup,Base,4WD,3404,3250,0.382,3.14,1193,3754,EU-2024-9346,false,European Union,WLTP,UNECE R154,8414,3754,750
OAM-V0445,2025,LATAM,crossover,Premium,RWD,2879,2263,0.315,2.46,465,2098,LATAM-2025-7747,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,5023,2098,750
OAM-V0446,2026,JP,suv,Performance,RWD,2881,2370,0.290,2.77,555,2247,JP-2026-4906,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,5404,2247,750
OAM-V0447,2027,LATAM,liftback,Performance,AWD,2985,1900,0.282,2.31,465,0,LATAM-2027-2531,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,2475,0,0
OAM-V0448,2024,JP,van,Sport,4WD,3896,2407,0.335,3.27,1554,2478,JP-2024-5474,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,6666,2478,750
OAM-V0449,2025,UK,liftback,Sport,AWD,2765,2072,0.253,2.20,516,705,UK-2025-8064,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,3483,705,705
OAM-V0450,2026,NA,suv,Premium,AWD,3105,2259,0.330,2.73,690,3752,NA-2026-4453,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,6915,3752,750
OAM-V0451,2027,KR,pickup,Base,AWD,3424,2529,0.342,3.56,913,2780,KR-2027-4379,false,Korea,WLTC-KR,KATRI/WLTC,6346,2780,750
OAM-V0452,2024,KR,sedan,Sport,RWD,2777,1804,0.194,2.28,464,0,KR-2024-2019,true,Korea,WLTC-KR,KATRI/WLTC,2498,0,0
OAM-V0453,2025,JP,crossover,Performance,4WD,2856,1885,0.312,2.74,642,1243,JP-2025-6651,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,3870,1243,750
OAM-V0454,2026,JP,crossover,Executive,AWD,2913,1917,0.289,2.71,627,1557,JP-2026-7500,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,4240,1557,750
OAM-V0455,2027,EU,sedan,Fleet,FWD,2840,1765,0.226,2.18,526,0,EU-2027-9104,false,European Union,WLTP,UNECE R154,2473,0,0
OAM-V0456,2024,EU,sedan,Executive,RWD,2911,1558,0.216,2.33,491,0,EU-2024-4907,true,European Union,WLTP,UNECE R154,2287,0,0
OAM-V0457,2025,EU,sedan,Performance,AWD,2761,1945,0.270,2.17,474,239,EU-2025-4520,false,European Union,WLTP,UNECE R154,2791,239,239
OAM-V0458,2026,KR,crossover,Touring,AWD,3025,2043,0.344,2.50,656,2148,KR-2026-8908,false,Korea,WLTC-KR,KATRI/WLTC,4947,2148,750
OAM-V0459,2027,GCC,van,Premium,AWD,3647,3052,0.340,3.73,808,2041,GCC-2027-1670,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,6080,2041,750
OAM-V0460,2024,JP,liftback,Performance,4WD,2914,2142,0.246,2.29,548,30,JP-2024-2241,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,2912,30,30
OAM-V0461,2025,EU,pickup,Touring,AWD,3411,2498,0.406,3.20,708,3993,EU-2025-8506,true,European Union,WLTP,UNECE R154,7428,3993,750
OAM-V0462,2026,GCC,sedan,Premium,RWD,2874,1609,0.246,2.22,524,1141,GCC-2026-6240,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,3441,1141,750
OAM-V0463,2027,LATAM,crossover,Base,4WD,2814,1895,0.325,2.60,571,1962,LATAM-2027-6141,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4551,1962,750
OAM-V0464,2024,KR,suv,Touring,RWD,3220,1936,0.327,2.87,617,2367,KR-2024-1969,false,Korea,WLTC-KR,KATRI/WLTC,5086,2367,750
OAM-V0465,2025,NA,liftback,Premium,FWD,2806,2108,0.305,2.19,450,1211,NA-2025-4184,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,3946,1211,750
OAM-V0466,2026,GCC,van,Executive,4WD,3824,3136,0.298,3.74,1231,3138,GCC-2026-2023,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,7699,3138,750
OAM-V0467,2027,KR,wagon,Base,FWD,2819,1726,0.255,2.51,600,1568,KR-2027-3216,false,Korea,WLTC-KR,KATRI/WLTC,4060,1568,750
OAM-V0468,2024,UK,suv,Base,AWD,3001,2156,0.316,2.72,663,2025,UK-2024-4335,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,5016,2025,750
OAM-V0469,2025,LATAM,crossover,Performance,4WD,2751,2500,0.274,2.50,655,1425,LATAM-2025-9478,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4775,1425,750
OAM-V0470,2026,JP,pickup,Touring,RWD,3474,2723,0.348,3.61,699,4966,JP-2026-5972,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,8553,4966,750
OAM-V0471,2027,NA,crossover,Executive,AWD,2858,2206,0.325,2.50,672,1692,NA-2027-4204,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,4700,1692,750
OAM-V0472,2024,JP,pickup,Sport,4WD,3389,2532,0.332,3.39,812,2955,JP-2024-8654,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,6521,2955,750
OAM-V0473,2025,AU,van,Sport,4WD,3321,2805,0.359,4.05,938,2812,AU-2025-6993,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,6729,2812,750
OAM-V0474,2026,NA,crossover,Base,RWD,2758,1777,0.324,2.72,512,1999,NA-2026-3610,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,4447,1999,750
OAM-V0475,2027,JP,sedan,Premium,AWD,2961,1634,0.220,2.33,424,0,JP-2027-9429,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,2208,0,0
OAM-V0476,2024,AU,pickup,Performance,RWD,3512,2586,0.372,3.64,1171,3763,AU-2024-1299,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,7681,3763,750
OAM-V0477,2025,LATAM,sedan,Base,RWD,2815,1639,0.242,2.32,549,678,LATAM-2025-8864,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,3016,678,678
OAM-V0478,2026,NA,crossover,Sport,RWD,3030,2308,0.258,2.67,535,2054,NA-2026-9490,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,5107,2054,750
OAM-V0479,2027,EU,liftback,Premium,AWD,2972,1755,0.305,2.36,420,1080,EU-2027-6344,false,European Union,WLTP,UNECE R154,3485,1080,750
OAM-V0480,2024,JP,pickup,Fleet,AWD,3275,2962,0.407,3.08,716,3201,JP-2024-2545,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,6980,3201,750
OAM-V0481,2025,KR,van,Performance,FWD,3503,3035,0.282,3.83,1369,1717,KR-2025-4525,true,Korea,WLTC-KR,KATRI/WLTC,6248,1717,750
OAM-V0482,2026,NA,liftback,Executive,AWD,3011,1984,0.293,2.29,509,0,NA-2026-2994,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,2734,0,0
OAM-V0483,2027,EU,liftback,Executive,FWD,2809,1966,0.249,2.45,561,938,EU-2027-2924,false,European Union,WLTP,UNECE R154,3609,938,750
OAM-V0484,2024,KR,wagon,Sport,AWD,2889,2019,0.277,2.52,611,1651,KR-2024-7864,true,Korea,WLTC-KR,KATRI/WLTC,4422,1651,750
OAM-V0485,2025,UK,wagon,Touring,AWD,3015,1647,0.263,2.44,560,1632,UK-2025-7861,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4040,1632,750
OAM-V0486,2026,KR,van,Performance,FWD,4004,2856,0.323,3.59,1525,2163,KR-2026-4720,false,Korea,WLTC-KR,KATRI/WLTC,6751,2163,750
OAM-V0487,2027,AU,crossover,Touring,AWD,3074,2156,0.344,2.52,676,2436,AU-2027-9704,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,5496,2436,750
OAM-V0488,2024,JP,sedan,Performance,4WD,2725,1960,0.240,2.35,490,0,JP-2024-8440,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,2677,0,0
OAM-V0489,2025,AU,pickup,Fleet,4WD,3598,2642,0.365,3.56,907,4434,AU-2025-9242,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,8199,4434,750
OAM-V0490,2026,AU,van,Executive,AWD,3643,3437,0.372,3.60,821,2680,AU-2026-2805,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,7081,2680,750
OAM-V0491,2027,EU,suv,Executive,RWD,2982,2219,0.289,3.03,706,2284,EU-2027-3976,true,European Union,WLTP,UNECE R154,5401,2284,750
OAM-V0492,2024,AU,crossover,Fleet,RWD,3122,2196,0.247,2.80,574,1886,AU-2024-5566,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4844,1886,750
OAM-V0493,2025,UK,crossover,Sport,RWD,2819,2053,0.241,2.61,653,1743,UK-2025-9377,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4653,1743,750
OAM-V0494,2026,AU,liftback,Sport,RWD,3007,1618,0.243,2.36,505,0,AU-2026-7406,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,2260,0,0
OAM-V0495,2027,AU,crossover,Executive,FWD,2847,2191,0.248,2.65,558,1827,AU-2027-2440,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4719,1827,750
OAM-V0496,2024,GCC,liftback,Performance,AWD,2760,1954,0.256,2.34,503,0,GCC-2024-3155,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,2559,0,0
OAM-V0497,2025,NA,liftback,Premium,AWD,2741,2118,0.256,2.39,425,1024,NA-2025-2681,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,3791,1024,750
OAM-V0498,2026,JP,sedan,Executive,FWD,2781,1982,0.241,2.41,441,625,JP-2026-2870,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,3201,625,625
OAM-V0499,2027,EU,liftback,Premium,AWD,2983,1930,0.241,2.36,456,0,EU-2027-1419,false,European Union,WLTP,UNECE R154,2605,0,0
OAM-V0500,2024,UK,sedan,Fleet,FWD,2929,1884,0.228,2.40,446,512,UK-2024-5653,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,2972,512,512
OAM-V0501,2025,EU,van,Sport,FWD,3315,3314,0.345,4.09,948,2444,EU-2025-7238,false,European Union,WLTP,UNECE R154,6851,2444,750
OAM-V0502,2026,LATAM,pickup,Fleet,RWD,3547,3027,0.374,3.45,960,4964,LATAM-2026-9528,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,9140,4964,750
OAM-V0503,2027,AU,wagon,Sport,RWD,2910,1872,0.273,2.54,476,1330,AU-2027-6389,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,3917,1330,750
OAM-V0504,2024,NA,suv,Performance,AWD,2991,2178,0.359,3.01,624,2246,NA-2024-3172,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,5286,2246,750
OAM-V0505,2025,NA,van,Performance,RWD,4135,3358,0.385,3.95,1449,2195,NA-2025-9517,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,7174,2195,750
OAM-V0506,2026,AU,crossover,Base,AWD,3056,1900,0.340,2.76,532,1287,AU-2026-8667,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,3921,1287,750
OAM-V0507,2027,GCC,suv,Fleet,AWD,3088,2130,0.300,2.89,641,3237,GCC-2027-8246,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,6161,3237,750
OAM-V0508,2024,UK,sedan,Sport,4WD,2835,1747,0.264,2.16,529,1025,UK-2024-7488,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,3460,1025,750
OAM-V0509,2025,NA,suv,Premium,AWD,3048,2922,0.328,2.79,768,3443,NA-2025-9717,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,7327,3443,750
OAM-V0510,2026,GCC,sedan,Touring,AWD,2715,1556,0.245,2.33,436,454,GCC-2026-6691,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,2621,454,454
OAM-V0511,2027,AU,van,Base,AWD,3599,3395,0.369,3.85,1205,3218,AU-2027-8863,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,7948,3218,750
OAM-V0512,2024,GCC,crossover,Premium,RWD,3069,1965,0.294,2.81,589,1504,GCC-2024-8739,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,4195,1504,750
OAM-V0513,2025,AU,pickup,Fleet,RWD,3493,2464,0.410,3.41,785,3938,AU-2025-6383,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,7412,3938,750
OAM-V0514,2026,JP,van,Premium,FWD,3558,3243,0.375,3.27,1052,3255,JP-2026-9806,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,7788,3255,750
OAM-V0515,2027,UK,crossover,Touring,FWD,3075,1752,0.314,2.68,651,1769,UK-2027-1684,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4369,1769,750
OAM-V0516,2024,AU,liftback,Premium,AWD,3018,1854,0.239,2.27,479,1269,AU-2024-6499,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,3846,1269,750
OAM-V0517,2025,LATAM,wagon,Premium,FWD,2869,2013,0.286,2.53,551,1639,LATAM-2025-5355,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4387,1639,750
OAM-V0518,2026,KR,suv,Sport,AWD,3125,2035,0.351,2.73,601,2221,KR-2026-3927,false,Korea,WLTC-KR,KATRI/WLTC,5036,2221,750
OAM-V0519,2027,LATAM,sedan,Executive,RWD,2871,1663,0.236,2.23,465,0,LATAM-2027-8838,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,2237,0,0
OAM-V0520,2024,GCC,pickup,Executive,RWD,3471,3054,0.351,3.49,977,4571,GCC-2024-3722,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,8795,4571,750
OAM-V0521,2025,LATAM,crossover,Base,FWD,3002,1871,0.247,2.60,675,1950,LATAM-2025-8148,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4615,1950,750
OAM-V0522,2026,LATAM,liftback,Base,AWD,2966,1589,0.265,2.28,440,0,LATAM-2026-7983,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,2235,0,0
OAM-V0523,2027,JP,pickup,Touring,RWD,3457,3025,0.314,3.46,850,3422,JP-2027-9473,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,7476,3422,750
OAM-V0524,2024,LATAM,sedan,Performance,FWD,2715,1774,0.250,2.38,417,220,LATAM-2024-7704,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,2522,220,220
OAM-V0525,2025,GCC,van,Sport,AWD,3321,2504,0.380,4.15,1005,2439,GCC-2025-9010,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,6066,2439,750
OAM-V0526,2026,JP,suv,Fleet,AWD,3029,2035,0.279,2.69,706,2209,JP-2026-7309,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,5056,2209,750
OAM-V0527,2027,NA,crossover,Base,4WD,3124,2190,0.309,2.50,453,2644,NA-2027-4416,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,5436,2644,750
OAM-V0528,2024,JP,van,Fleet,4WD,3983,2707,0.326,3.88,1436,3583,JP-2024-2253,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,7968,3583,750
OAM-V0529,2025,GCC,pickup,Performance,4WD,3373,3530,0.387,3.05,1107,4151,GCC-2025-1991,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,8913,4151,750
OAM-V0530,2026,NA,liftback,Touring,4WD,2861,1582,0.242,2.18,493,1057,NA-2026-7548,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,3286,1057,750
OAM-V0531,2027,NA,liftback,Sport,RWD,2879,1597,0.222,2.36,431,782,NA-2027-2173,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,2950,782,750
OAM-V0532,2024,JP,wagon,Touring,RWD,3011,1919,0.289,2.39,472,1413,JP-2024-3701,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,3947,1413,750
OAM-V0533,2025,UK,van,Touring,AWD,3373,2853,0.383,3.60,964,3547,UK-2025-3633,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,7533,3547,750
OAM-V0534,2026,EU,suv,Base,FWD,3124,2181,0.294,2.92,788,1921,EU-2026-4223,true,European Union,WLTP,UNECE R154,5030,1921,750
OAM-V0535,2027,EU,sedan,Base,4WD,2733,1607,0.225,2.35,448,0,EU-2027-1639,false,European Union,WLTP,UNECE R154,2170,0,0
OAM-V0536,2024,LATAM,van,Premium,FWD,3770,3362,0.358,3.86,1210,2386,LATAM-2024-7513,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,7176,2386,750
OAM-V0537,2025,JP,wagon,Premium,RWD,3082,2063,0.222,2.31,534,1669,JP-2025-3748,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,4387,1669,750
OAM-V0538,2026,UK,liftback,Premium,AWD,2830,1777,0.235,2.31,501,458,UK-2026-1660,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,2905,458,458
OAM-V0539,2027,AU,pickup,Fleet,4WD,3229,3037,0.351,3.45,846,3756,AU-2027-4699,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,7768,3756,750
OAM-V0540,2024,NA,wagon,Performance,FWD,3010,1906,0.272,2.52,525,1253,NA-2024-3114,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,3844,1253,750
OAM-V0541,2025,JP,sedan,Base,4WD,2962,1927,0.262,2.16,556,411,JP-2025-2587,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,3117,411,411
OAM-V0542,2026,LATAM,crossover,Touring,4WD,2983,2176,0.285,2.57,582,2110,LATAM-2026-4699,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,5079,2110,750
OAM-V0543,2027,UK,wagon,Performance,AWD,3012,2161,0.278,2.31,609,1084,UK-2027-9288,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4035,1084,750
OAM-V0544,2024,GCC,wagon,Executive,FWD,2900,2138,0.247,2.33,511,1499,GCC-2024-3319,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,4343,1499,750
OAM-V0545,2025,AU,sedan,Base,FWD,2711,1498,0.263,2.23,451,0,AU-2025-3395,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,2142,0,0
OAM-V0546,2026,AU,sedan,Base,AWD,2743,1629,0.274,2.37,489,826,AU-2026-8748,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,3077,826,750
OAM-V0547,2027,KR,crossover,Fleet,FWD,3028,2110,0.268,2.49,453,1469,KR-2027-7739,true,Korea,WLTC-KR,KATRI/WLTC,4208,1469,750
OAM-V0548,2024,JP,pickup,Base,4WD,3365,2876,0.349,3.60,767,3785,JP-2024-5462,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,7662,3785,750
OAM-V0549,2025,JP,suv,Performance,4WD,3188,2135,0.294,3.06,750,1737,JP-2025-5922,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,4858,1737,750
OAM-V0550,2026,LATAM,wagon,Base,4WD,2896,2164,0.242,2.27,534,1403,LATAM-2026-3051,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4246,1403,750
OAM-V0551,2027,LATAM,wagon,Sport,RWD,3020,1955,0.253,2.50,549,1587,LATAM-2027-8973,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4300,1587,750
OAM-V0552,2024,AU,suv,Executive,RWD,3195,2338,0.352,2.87,567,3407,AU-2024-5061,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,6413,3407,750
OAM-V0553,2025,EU,crossover,Fleet,FWD,3094,1876,0.266,2.68,482,1940,EU-2025-5490,true,European Union,WLTP,UNECE R154,4477,1940,750
OAM-V0554,2026,NA,crossover,Touring,RWD,3111,1774,0.247,2.69,653,1441,NA-2026-3147,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,4055,1441,750
OAM-V0555,2027,LATAM,liftback,Base,FWD,2741,1849,0.306,2.41,446,0,LATAM-2027-5766,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,2508,0,0
OAM-V0556,2024,EU,liftback,Base,RWD,2975,1580,0.226,2.29,577,0,EU-2024-2254,false,European Union,WLTP,UNECE R154,2392,0,0
OAM-V0557,2025,EU,wagon,Executive,4WD,2781,1754,0.276,2.53,592,1809,EU-2025-2891,false,European Union,WLTP,UNECE R154,4271,1809,750
OAM-V0558,2026,UK,pickup,Executive,AWD,3572,2672,0.368,3.33,777,5609,UK-2026-9018,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,9238,5609,750
OAM-V0559,2027,UK,crossover,Touring,FWD,2877,2293,0.342,2.47,490,1941,UK-2027-9803,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4879,1941,750
OAM-V0560,2024,UK,sedan,Executive,AWD,2988,1919,0.260,2.20,550,0,UK-2024-9716,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,2690,0,0
OAM-V0561,2025,GCC,pickup,Touring,AWD,3482,3365,0.407,3.26,681,4717,GCC-2025-5236,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,8974,4717,750
OAM-V0562,2026,LATAM,sedan,Sport,4WD,2780,1817,0.241,2.31,549,0,LATAM-2026-9986,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,2469,0,0
OAM-V0563,2027,NA,wagon,Performance,AWD,2828,2042,0.260,2.45,590,1259,NA-2027-4361,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,4089,1259,750
OAM-V0564,2024,LATAM,sedan,Fleet,4WD,2909,1669,0.285,2.27,492,0,LATAM-2024-8697,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,2396,0,0
OAM-V0565,2025,UK,sedan,Premium,4WD,2875,1874,0.240,2.33,508,1135,UK-2025-6027,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,3752,1135,750
OAM-V0566,2026,UK,wagon,Fleet,AWD,2897,2103,0.226,2.27,498,2012,UK-2026-9979,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4721,2012,750
OAM-V0567,2027,JP,crossover,Touring,FWD,3058,2342,0.296,2.46,669,2433,JP-2027-5348,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,5613,2433,750
OAM-V0568,2024,LATAM,crossover,Performance,AWD,2890,2320,0.287,2.76,689,1300,LATAM-2024-5850,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4536,1300,750
OAM-V0569,2025,LATAM,pickup,Sport,4WD,3483,2683,0.368,3.55,945,3032,LATAM-2025-2775,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,6882,3032,750
OAM-V0570,2026,NA,crossover,Sport,FWD,3058,2074,0.338,2.72,462,1598,NA-2026-3856,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,4360,1598,750
OAM-V0571,2027,JP,van,Premium,RWD,3479,3235,0.316,3.45,1431,2001,JP-2027-9444,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,6856,2001,750
OAM-V0572,2024,GCC,liftback,Fleet,FWD,2923,1608,0.201,2.28,427,1207,GCC-2024-8607,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,3389,1207,750
OAM-V0573,2025,NA,liftback,Fleet,4WD,2765,1595,0.238,2.37,544,0,NA-2025-8009,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,2307,0,0
OAM-V0574,2026,AU,van,Executive,AWD,3994,2489,0.367,3.54,1407,3573,AU-2026-7970,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,7615,3573,750
OAM-V0575,2027,AU,crossover,Fleet,RWD,2834,2330,0.340,2.68,612,1754,AU-2027-2144,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4855,1754,750
